DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
2.1472	 0.9557	 4.4494	 87.6817	 7.4798	 2.9623	 
2.0035	 0.5810	 3.7354	 86.6526	 5.6901	 0.8877	 
2.0007	 0.6032	 3.7010	 87.0803	 6.5814	 1.0574	 
2.0010	 0.5818	 3.6850	 87.9009	 5.9978	 1.0441	 
2.0009	 0.6036	 3.6654	 86.8950	 6.7889	 0.9601	 
2.0196	 0.5805	 3.7449	 86.3281	 5.9873	 0.8785	 
1.9939	 0.5886	 3.6660	 85.9050	 7.1014	 0.8940	 
2.0139	 0.5835	 3.7275	 87.1883	 7.0551	 0.9672	 
1.9888	 0.6116	 3.9852	 86.0962	 7.0682	 0.8784	 
2.0050	 0.6017	 3.6368	 85.9689	 8.1739	 0.8813	 
1.9941	 0.5805	 3.8873	 86.6136	 7.8016	 0.8848	 
