DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.7935	 0.6452	 2.3415	 39.6245	 6.4023	 2.6463	 
0.5434	 0.2642	 1.6926	 38.7859	 5.7839	 0.5833	 
0.5459	 0.2648	 1.8391	 38.4526	 4.3707	 0.5801	 
0.5434	 0.2636	 1.6153	 39.2159	 4.5823	 0.6221	 
0.5454	 0.2320	 1.7557	 38.8133	 4.5872	 0.5774	 
0.5482	 0.2117	 1.7606	 39.1438	 5.0973	 0.6059	 
0.5531	 0.2121	 1.7336	 38.8038	 4.8887	 0.6222	 
0.5548	 0.2111	 1.7915	 38.5741	 6.2462	 0.5884	 
0.5462	 0.2108	 1.6754	 38.4127	 5.0672	 0.6029	 
0.5498	 0.2106	 1.6999	 38.5421	 4.5127	 0.6430	 
0.5472	 0.2109	 1.8869	 38.4153	 5.6943	 0.5822	 
