DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.4241	 0.4297	 1.6484	 21.0425	 5.1464	 2.3790	 
0.1853	 0.1043	 0.9993	 20.4359	 4.5890	 0.4989	 
0.1710	 0.1047	 1.0521	 20.0732	 3.4074	 0.4622	 
0.1670	 0.1047	 1.1102	 20.5094	 3.0733	 0.5130	 
0.1664	 0.1047	 1.2002	 20.4252	 3.9187	 0.4697	 
0.1670	 0.1046	 1.0599	 20.6737	 3.8784	 0.4433	 
0.1667	 0.1043	 1.0045	 20.0745	 3.2466	 0.4359	 
0.1661	 0.1056	 1.0779	 20.6807	 3.1512	 0.4363	 
0.1655	 0.1110	 1.1091	 20.7521	 3.5336	 0.4992	 
0.1658	 0.1306	 1.1005	 20.4597	 3.0686	 0.4746	 
0.1667	 0.1270	 1.0548	 20.5226	 3.0720	 0.4405	 
