DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
1.7544	 0.7872	 4.3024	 79.7794	 7.9350	 2.9107	 
1.6264	 0.4915	 3.5774	 78.5422	 7.2252	 0.9964	 
1.6285	 0.5087	 3.6247	 78.8225	 6.9431	 1.0285	 
1.6288	 0.4932	 3.6557	 79.1040	 8.5349	 0.9759	 
1.6243	 0.5136	 3.7542	 79.0496	 8.8641	 1.0112	 
1.6260	 0.4920	 3.6772	 79.5158	 8.5024	 0.9377	 
1.6323	 0.5068	 3.7003	 78.2276	 7.5123	 0.9548	 
1.6383	 0.4936	 3.5762	 79.0200	 8.0629	 0.9287	 
1.6123	 0.4911	 3.6503	 79.4260	 6.5695	 0.9455	 
1.6460	 0.5302	 3.4708	 79.5586	 6.7772	 0.9346	 
1.6154	 0.4998	 3.5974	 78.1092	 6.4867	 0.9375	 
