DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.8035	 0.4875	 2.2665	 38.3374	 4.9978	 2.4120	 
0.6267	 0.2212	 1.6468	 36.8811	 3.9567	 0.5358	 
0.6272	 0.2273	 1.7153	 37.5271	 4.8815	 0.5828	 
0.6418	 0.2145	 1.6641	 36.7288	 4.2712	 0.5617	 
0.6263	 0.2142	 1.7845	 36.7633	 3.8995	 0.5317	 
0.6393	 0.2124	 1.7029	 36.7488	 3.6703	 0.5659	 
0.6301	 0.2121	 1.5967	 36.8099	 4.8519	 0.5312	 
0.6249	 0.2122	 1.7620	 37.2068	 4.2987	 0.6966	 
0.6272	 0.2115	 1.6076	 37.3348	 4.5585	 0.5603	 
0.6367	 0.2113	 1.8440	 37.7316	 3.9866	 0.7212	 
0.6339	 0.2385	 1.5911	 36.7258	 3.8154	 0.5685	 
