DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
2.9628	 1.1257	 5.4338	 113.3219	 8.7935	 3.0421	 
2.8090	 0.8198	 4.7526	 113.0459	 6.6099	 1.1272	 
2.8115	 0.8013	 4.7412	 113.2114	 6.8808	 1.1072	 
2.8107	 0.7864	 4.6702	 111.9824	 6.9443	 1.2019	 
2.8254	 0.8006	 4.8506	 112.5317	 6.3265	 1.0588	 
2.8153	 0.8102	 4.8612	 113.6060	 6.3871	 1.0353	 
2.8156	 0.7860	 4.7721	 113.1928	 6.3589	 1.0520	 
2.8087	 0.7889	 4.7420	 112.0710	 6.4757	 1.2226	 
2.8160	 0.7885	 4.8694	 112.4654	 6.6937	 1.0293	 
2.8075	 0.8154	 4.7145	 111.8811	 8.3719	 1.0370	 
2.8180	 0.7951	 4.9351	 112.5672	 7.3356	 1.1207	 
