DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
1.0050	 0.5850	 2.6215	 49.3951	 7.1796	 2.3661	 
0.8412	 0.2968	 1.8149	 48.1010	 5.2606	 0.5824	 
0.8386	 0.2962	 1.9806	 48.4935	 4.0419	 0.6127	 
0.8381	 0.2963	 1.8153	 48.4727	 4.1032	 0.7529	 
0.8564	 0.2959	 1.9994	 48.3726	 3.9552	 0.5920	 
0.8455	 0.2960	 1.8123	 47.4657	 5.7502	 0.5727	 
0.8420	 0.3262	 1.8384	 48.5302	 5.6163	 0.5577	 
0.8403	 0.2950	 1.8930	 48.8669	 4.9593	 0.5571	 
0.8424	 0.3311	 1.9396	 48.9873	 4.1251	 0.5872	 
0.8799	 0.2960	 1.9390	 48.6164	 4.1456	 0.6274	 
0.8398	 0.3053	 1.9300	 49.0394	 4.2238	 0.6056	 
