DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.5961	 0.5365	 2.2487	 33.0540	 5.5032	 2.5062	 
0.3849	 0.1994	 1.4322	 32.3500	 5.2197	 0.6231	 
0.3885	 0.1552	 1.6046	 31.9282	 4.2157	 0.5762	 
0.3859	 0.1556	 1.4525	 31.5863	 3.9865	 0.6380	 
0.3881	 0.1556	 1.4486	 32.0937	 3.7559	 0.6254	 
0.3842	 0.1552	 1.4948	 32.1714	 3.9759	 0.5793	 
0.3876	 0.1594	 1.4246	 31.7020	 4.0021	 0.6089	 
0.3974	 0.1715	 1.4760	 32.1144	 3.9553	 0.6392	 
0.3880	 0.1550	 1.5123	 31.8722	 5.5193	 0.5687	 
0.3922	 0.1543	 1.4536	 32.0374	 4.1001	 0.6099	 
0.4150	 0.1535	 1.7030	 31.6131	 4.1076	 0.6026	 
