DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1755	 0.3602	 0.0131	 0.4747	 0.5283	 1.9090	 
0.0393	 0.0410	 0.0283	 0.1186	 0.0416	 0.0452	 
0.0372	 0.0360	 0.0286	 0.1183	 0.0438	 0.0423	 
0.0373	 0.0368	 0.0280	 0.1363	 0.0496	 0.0358	 
0.0368	 0.0367	 0.0276	 0.1164	 0.0369	 0.0394	 
0.0373	 0.0350	 0.0277	 0.1164	 0.0503	 0.0395	 
0.0371	 0.0369	 0.0279	 0.1161	 0.0372	 0.0372	 
0.0384	 0.0350	 0.0285	 0.1234	 0.0512	 0.0454	 
0.0381	 0.0352	 0.0290	 0.1163	 0.0382	 0.0392	 
0.0372	 0.0365	 0.0280	 0.1167	 0.0381	 0.0397	 
0.0440	 0.0369	 0.0276	 0.1231	 0.0380	 0.0386	 
