DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1757	 0.2651	 0.0112	 0.6385	 0.4926	 1.8910	 
0.0487	 0.0159	 0.0434	 0.2591	 0.0202	 0.0157	 
0.0509	 0.0151	 0.0500	 0.2563	 0.0166	 0.0150	 
0.0498	 0.0131	 0.0445	 0.2576	 0.0162	 0.0146	 
0.0449	 0.0119	 0.0455	 0.2561	 0.0177	 0.0148	 
0.0447	 0.0148	 0.0448	 0.2543	 0.0158	 0.0156	 
0.0441	 0.0137	 0.0468	 0.2552	 0.0168	 0.0202	 
0.0437	 0.0120	 0.0450	 0.2594	 0.0163	 0.0197	 
0.0435	 0.0118	 0.0451	 0.2539	 0.0166	 0.0245	 
0.0440	 0.0117	 0.0463	 0.2557	 0.0161	 0.0159	 
0.0439	 0.0124	 0.0453	 0.2606	 0.0167	 0.0195	 
