DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1879	 0.2894	 0.0220	 0.7344	 0.5289	 2.1230	 
0.0828	 0.0693	 0.0585	 0.2717	 0.0658	 0.0889	 
0.0825	 0.0761	 0.0616	 0.2706	 0.0659	 0.1041	 
0.0890	 0.0743	 0.0584	 0.2828	 0.0662	 0.0700	 
0.0910	 0.0761	 0.0582	 0.2730	 0.0662	 0.0709	 
0.0858	 0.0738	 0.0601	 0.2727	 0.0658	 0.0777	 
0.0855	 0.0729	 0.0564	 0.2780	 0.0665	 0.0801	 
0.0851	 0.0743	 0.0567	 0.2836	 0.0661	 0.0750	 
0.0855	 0.0764	 0.0653	 0.2753	 0.0671	 0.0698	 
0.0870	 0.0776	 0.0562	 0.2721	 0.0663	 0.0661	 
0.0876	 0.0765	 0.0538	 0.2828	 0.0662	 0.0698	 
