DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.2867	 0.2686	 0.0239	 1.2352	 0.6862	 2.0763	 
0.1803	 0.0276	 0.1830	 0.8223	 0.1249	 0.0676	 
0.1812	 0.0261	 0.1836	 0.8221	 0.1046	 0.0695	 
0.1789	 0.0258	 0.1825	 0.8374	 0.1038	 0.0646	 
0.1786	 0.0270	 0.1827	 0.8298	 0.1042	 0.0674	 
0.1791	 0.0248	 0.1829	 0.8303	 0.1045	 0.0628	 
0.1765	 0.0258	 0.1831	 0.8256	 0.1043	 0.0640	 
0.1772	 0.0245	 0.1833	 0.8388	 0.1037	 0.0641	 
0.1772	 0.0255	 0.1839	 0.8409	 0.1032	 0.0634	 
0.1786	 0.0245	 0.1812	 0.8294	 0.1085	 0.0618	 
0.1789	 0.0243	 0.1819	 0.8376	 0.1021	 0.0633	 
