DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.2645	 0.3707	 0.0287	 0.8759	 0.7598	 2.4232	 
0.1527	 0.1228	 0.1094	 0.4990	 0.2208	 0.2014	 
0.1504	 0.1224	 0.1085	 0.5069	 0.2200	 0.1597	 
0.1519	 0.1276	 0.1093	 0.5147	 0.2182	 0.1898	 
0.1540	 0.1219	 0.1103	 0.5008	 0.2172	 0.1862	 
0.1519	 0.1263	 0.1168	 0.5024	 0.2198	 0.1534	 
0.1524	 0.1430	 0.1099	 0.5041	 0.2201	 0.1536	 
0.1598	 0.1280	 0.1086	 0.5164	 0.2182	 0.1552	 
0.1532	 0.1220	 0.1104	 0.5026	 0.2168	 0.1593	 
0.1530	 0.1254	 0.1106	 0.5017	 0.2320	 0.1530	 
0.1519	 0.1279	 0.1089	 0.5149	 0.2208	 0.1529	 
