DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1531	 0.2630	 0.0055	 0.5151	 0.4968	 1.9326	 
0.0163	 0.0200	 0.0093	 0.0446	 0.0169	 0.0196	 
0.0159	 0.0175	 0.0092	 0.0416	 0.0127	 0.0195	 
0.0162	 0.0174	 0.0087	 0.0436	 0.0128	 0.0154	 
0.0162	 0.0190	 0.0089	 0.0415	 0.0131	 0.0146	 
0.0170	 0.0160	 0.0092	 0.0405	 0.0127	 0.0149	 
0.0150	 0.0161	 0.0092	 0.0406	 0.0128	 0.0163	 
0.0147	 0.0162	 0.0089	 0.0429	 0.0128	 0.0176	 
0.0147	 0.0147	 0.0091	 0.0409	 0.0128	 0.0179	 
0.0131	 0.0141	 0.0092	 0.0404	 0.0131	 0.0181	 
0.0131	 0.0141	 0.0093	 0.0439	 0.0126	 0.0170	 
