DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1367	 0.3605	 0.0041	 0.3863	 0.5757	 1.8414	 
0.0076	 0.0038	 0.0078	 0.0366	 0.0086	 0.0048	 
0.0075	 0.0037	 0.0070	 0.0368	 0.0046	 0.0040	 
0.0074	 0.0039	 0.0076	 0.0386	 0.0084	 0.0041	 
0.0076	 0.0038	 0.0069	 0.0364	 0.0046	 0.0038	 
0.0075	 0.0040	 0.0073	 0.0357	 0.0056	 0.0040	 
0.0078	 0.0038	 0.0077	 0.0351	 0.0050	 0.0040	 
0.0079	 0.0049	 0.0077	 0.0373	 0.0046	 0.0037	 
0.0076	 0.0040	 0.0075	 0.0352	 0.0048	 0.0033	 
0.0102	 0.0042	 0.0069	 0.0349	 0.0048	 0.0036	 
0.0076	 0.0042	 0.0079	 0.0365	 0.0045	 0.0034	 
