DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.2057	 0.2626	 0.0176	 0.9004	 0.5595	 1.9231	 
0.0928	 0.0225	 0.0968	 0.4830	 0.0457	 0.0228	 
0.0917	 0.0200	 0.0948	 0.4817	 0.0453	 0.0231	 
0.0979	 0.0171	 0.0954	 0.4939	 0.0449	 0.0219	 
0.0910	 0.0170	 0.0954	 0.4801	 0.0351	 0.0221	 
0.0919	 0.0182	 0.0954	 0.4847	 0.0277	 0.0252	 
0.0966	 0.0178	 0.0971	 0.4815	 0.0273	 0.0230	 
0.0913	 0.0184	 0.0948	 0.4940	 0.0281	 0.0275	 
0.0920	 0.0200	 0.0959	 0.4836	 0.0280	 0.0213	 
0.1019	 0.0219	 0.0954	 0.4854	 0.0304	 0.0231	 
0.0970	 0.0212	 0.0971	 0.4923	 0.0301	 0.0292	 
